0x18000D2D0 b'AIAdjustSkillPosition'
0x1800319D0 b'BGPITINFOInstallPitInfoCalcRollingStartLon0Fn'
0x180031980 b'BGPITINFOInstallPitInfoCalcRollingStartTimeFn'
0x1800319F0 b'BGPITINFOInstallPitInfoDoesPacecarStartOnTrackFn'
0x1800319E0 b'BGPITINFOInstallPitInfoGetFlagOffsetFn'
0x180031A00 b'BGPITINFOInstallPitInfoGetPitFrameForCarFn'
0x1800319C0 b'BGPITINFOInstallPitInfoGetPitSideFn'
0x1800319B0 b'BGPITINFOInstallPitInfoGetPitSpeedFn'
0x1800319A0 b'BGPITINFOInstallPitInfoGetRestartIntercarFn'
0x180031A20 b'BGPITINFOInstallPitInfoGetStallCountFn'
0x180031990 b'BGPITINFOInstallPitInfoGetStallForCarFn'
0x180031A10 b'BGPITINFOInstallPitInfoGetStallLocOrFn'
0x1800322D0 b'BGPITTASKSInstallNotifyDamageRepairedFn'
0x180032290 b'BGPITTASKSInstallPitPhobEnterPitLaneFn'
0x1800322A0 b'BGPITTASKSInstallPitPhobLeavePitLaneFn'
0x1800322B0 b'BGPITTASKSInstallPitPhobNearStallFn'
0x1800322C0 b'BGPITTASKSInstallPitPhobStartFn'
0x180032260 b'BGPITTASKSInstallPitTasksGetFn'
0x180032270 b'BGPITTASKSInstallPitTasksNotifyFinishedFn'
0x180032280 b'BGPITTASKSInstallPitTasksNotifyInitFn'
0x180032EA0 b'BGPXInstallApplyForceFn'
0x180032EB0 b'BGPXInstallApplyImpulseFn'
0x180032EC0 b'BGPXInstallApplyTorqueFn'
0x180032E20 b'BGPXInstallCreateCarFn'
0x180032E30 b'BGPXInstallCreateGhostCarFn'
0x180032EF0 b'BGPXInstallDoPhysicsCollisionCallbacksFn'
0x180032E70 b'BGPXInstallSetAVFn'
0x180032E90 b'BGPXInstallSetCollisionEnabledFn'
0x180032E40 b'BGPXInstallSetFrameFn'
0x180032E80 b'BGPXInstallSetMassFn'
0x180032E50 b'BGPXInstallSetModelOffsetFn'
0x180032E60 b'BGPXInstallSetVelocityFn'
0x180032ED0 b'BGPXInstallStartNextTickFn'
0x180032F00 b'BGPXInstallUpdatePXObjectStateFn'
0x180032EE0 b'BGPXInstallWaitFn'
0x180034720 b'BGRECORDInstallRecordGetBestLapTimeFn'
0x1800346F0 b'BGRECORDInstallRecordNewLapFn'
0x180034700 b'BGRECORDInstallRecordRaceOverFn'
0x1800346E0 b'BGRECORDInstallRecordResetFn'
0x180034710 b'BGRECORDInstallRecordSetDamageReportFn'
0x180034600 b'BGRandomSetDeterministic'
0x1800370A0 b'BGTERRAINInstallTerrainGetSphereIntersectionFn'
0x180037080 b'BGTERRAINInstallTerrainInvalidateCookieFn'
0x180037090 b'BGTERRAINInstallTerrainQueryFn'
0x1800C7CD0 b'BGTVCAMInstallGetDataFn'
0x1800C7CC0 b'BGTVCAMInstallGetOriginFn'
0x18003B1A0 b'BGVFInstallValueFileForgetFn'
0x18003B190 b'BGVFInstallValueFileTryFn'
0x18003B1C0 b'BGVFInstallValueFileTryTableByIndexFn'
0x18003B1B0 b'BGVFInstallValueFileTryTableFn'
0x18003B260 b'BGVFInstallValueTableDumpFn'
0x18003B230 b'BGVFInstallValueTableGetBoolFn'
0x18003B210 b'BGVFInstallValueTableGetIntFn'
0x18003B1D0 b'BGVFInstallValueTableGetNameFn'
0x18003B1F0 b'BGVFInstallValueTableGetRealFn'
0x18003B200 b'BGVFInstallValueTableGetScaleFn'
0x18003B240 b'BGVFInstallValueTableGetStringFn'
0x18003B220 b'BGVFInstallValueTableGetVector3DFn'
0x18003B1E0 b'BGVFInstallValueTableHasValueFn'
0x18003B250 b'BGVFInstallValueTableTryTrackInfoTableFn'
0x18008F870 b'CameraAddOnCarTVCameraConfig'
0x18008F490 b'CameraConfigureTV'
0x18008EF80 b'CameraGetTVCamInfo'
0x18008F090 b'CameraMoveBlimpCamera'
0x18008F430 b'CameraSetBlimpCameraIndex'
0x18008F6A0 b'CameraSetChaseCameraConfig'
0x18008F7B0 b'CameraSetFixedOnCarCameraConfig'
0x18008EEE0 b'CameraSetFocusCar'
0x18008F9D0 b'CameraSetNewChaseCameraConfig'
0x18008EF30 b'CameraSetPitboxCameraFrame'
0x18008EE80 b'CameraSetType'
0x18008F2B0 b'CameraToggleBlimpCameraRelativeToCar'
0x180063230 b'CarAddTerrainNoise'
0x1800632D0 b'CarDisableAntiTorque'
0x1800B6940 b'CarSetDrivingAids'
0x1800632E0 b'CarSetRearSpoilerZOverrideWhileRacing'
0x18006BC80 b'ControllerStateSet'
0x1800DCF80 b'DeityCanSkipYellowFlag'
0x1800DCE20 b'DeityGetMessage'
0x1800DD020 b'DeityGetYellowFlagMayhemReport'
0x1800DCFD0 b'DeitySkipYellowFlag'
0x1800959F0 b'GetRaceMode'
0x18006EE10 b'GhostCarGrabGhostCarData'
0x18006EBE0 b'GhostCarSetInitialGhostData'
0x180079680 b'GhostcarLineGetPointsForLane'
0x1800CD9C0 b'HMActivateHeats'
0x1800CDCA0 b'HMAdvance'
0x1800CDFD0 b'HMConsolidateFinalResults'
0x1800CDA30 b'HMDeactivateHeats'
0x1800CE2C0 b'HMGetCarForStartingPosition'
0x1800CDBA0 b'HMGetCurrentStageIdx'
0x1800CE0C0 b'HMGetFinalResultsPlaceByCar'
0x1800CDC20 b'HMGetPendingStageIdx'
0x1800CDDB0 b'HMGetStageParticipantCount'
0x1800CE1C0 b'HMGetStageResultForCar'
0x1800CE240 b'HMGetStageStartingPositionForCar'
0x1800CE040 b'HMHasFinalResults'
0x1800CDAA0 b'HMHeatsAreActive'
0x1800CDB20 b'HMHeatsAreEnabled'
0x1800CD8E0 b'HMInit'
0x1800CD920 b'HMInitAddStage'
0x1800CDF20 b'HMInvalidateCurrentStageResults'
0x1800CE390 b'HMIsCarParticipatingInStage'
0x1800CDE30 b'HMStageHasResults'
0x18002D2A0 b'ILResAddTrackTerrainProperties'
0x18002D1A0 b'ILResGetCenterlinePoint'
0x180027380 b'InstallCallbacks_CARDATA'
0x180027DF0 b'InstallCallbacks_CL'
0x1800C7E70 b'InstallCallbacks_CONSOLE'
0x1800275B0 b'InstallCallbacks_CONTROL'
0x1800C7A40 b'InstallCallbacks_EVENT'
0x18007EB90 b'InstallCallbacks_GFX'
0x180027940 b'InstallCallbacks_GHOST'
0x18002F190 b'InstallCallbacks_LOG'
0x1800315B0 b'InstallCallbacks_OPT'
0x1800318E0 b'InstallCallbacks_PITINFO'
0x1800321C0 b'InstallCallbacks_PITTASKS'
0x180032D60 b'InstallCallbacks_PX'
0x180034660 b'InstallCallbacks_RECORD'
0x180037000 b'InstallCallbacks_TERRAIN'
0x1800C7C40 b'InstallCallbacks_TVCAM'
0x18003B120 b'InstallCallbacks_VF'
0x1800DCB60 b'LMPhysicsGetAheadBehindList'
0x1800A1340 b'LMPhysicsGetCarComponentStatus'
0x1800A0B90 b'LMPhysicsGetCarPacket'
0x1800DC820 b'LMPhysicsGetCarStats'
0x1800957A0 b'LMPhysicsGetPacket'
0x1800A0AA0 b'LMPhysicsGetPitStopStatus'
0x1800DCA60 b'LMPhysicsGetPlaceList'
0x1800DCA30 b'LMPhysicsGetRaceSummary'
0x180095760 b'LMPhysicsUpdate'
0x1800D8270 b'MultiGetLiveStatusPacket'
0x1800D71B0 b'MultiGetPhysicsTickError'
0x1800D80B0 b'MultiIsEveryoneElseDisconnected'
0x1800D8120 b'MultiIsResponsibleForLiveInfo'
0x1800D7E60 b'MultiNotifyDisconnection'
0x1800D7D20 b'MultiNotifySyncPoint'
0x1800D7750 b'MultiReceivePacket'
0x1800D7CA0 b'MultiRequestNewSyncPoint'
0x1800D7220 b'MultiSendPacket'
0x1800F8F20 b'NS_SetChassisInfo'
0x1800F8FF0 b'NS_SetDWBConfiguration'
0x180033DC0 b'PhysPXIsRequired'
0x1800338C0 b'PhysPXNotifyContact'
0x180033B30 b'PhysPXNotifyTrigger'
0x180033BF0 b'PhysPXUpdatePXObject'
0x180098450 b'PhysReplayFastForward'
0x1800986A0 b'PhysReplayGetPlaybackSubtick'
0x1800983D0 b'PhysReplayIsAtEnd'
0x1800981F0 b'PhysReplayIsCompletelyHosed'
0x1800982F0 b'PhysReplayPause'
0x180098190 b'PhysReplayPlayBegin'
0x180098350 b'PhysReplayResume'
0x180098230 b'PhysReplayRewind'
0x1800984D0 b'PhysReplayShuttle'
0x1800A1BB0 b'PhysTaskClearAllCarsAccumulatedDamage'
0x1800A1630 b'PhysTaskNotifyCollisionCallbacksAreComplete'
0x1800A1650 b'PhysTaskNotifyPhysicsUpdateIsComplete'
0x1800A04B0 b'PhysTaskPXSectionA_BeginTick'
0x1800A04F0 b'PhysTaskPXSectionA_EndTick'
0x1800A06A0 b'PhysTaskPXSectionB'
0x1800A0730 b'PhysTaskPXUpdateReplay'
0x1800A1980 b'PhysTaskReloadAISkill'
0x1800A04A0 b'PhysTaskSetUnityEnabled'
0x180095640 b'PhysicsAbortRace'
0x1800945F0 b'PhysicsBegin'
0x18003B6D0 b'PhysicsConfigAddAIDriverSkillInfo'
0x18003B620 b'PhysicsConfigAddAIException'
0x18003C1C0 b'PhysicsConfigSetAIConfig'
0x18003C320 b'PhysicsConfigSetAISkillConfig'
0x18003B580 b'PhysicsConfigSetCatchupConfig'
0x18003B770 b'PhysicsConfigSetChassis'
0x18003C460 b'PhysicsConfigSetControllerConfig'
0x18003BFC0 b'PhysicsConfigSetDraftingConfig'
0x18003BEB0 b'PhysicsConfigSetDrivingAidsConfig'
0x18003B910 b'PhysicsConfigSetEngine'
0x18003BB30 b'PhysicsConfigSetFrontAxle'
0x18003C0F0 b'PhysicsConfigSetGameConfig'
0x18003C050 b'PhysicsConfigSetLitePhysicsConfig'
0x18003C3D0 b'PhysicsConfigSetPlayerConfig'
0x18003BCB0 b'PhysicsConfigSetRearAxle'
0x18003B880 b'PhysicsConfigSetTransmission'
0x18003BE30 b'PhysicsConfigSetWearConfig'
0x18003B9C0 b'PhysicsConfigSetWheel'
0x180095660 b'PhysicsCreate'
0x1800956A0 b'PhysicsCreateCar'
0x180094D40 b'PhysicsEnd'
0x1800DC4F0 b'PhysicsForceRaceOver'
0x18002F6A0 b'PhysicsIsDLLFailed'
0x180030A60 b'PhysicsMemDestroy'
0x1800308A0 b'PhysicsMemInit'
0x1800956E0 b'PhysicsPause'
0x180095540 b'PhysicsPostRace'
0x180095220 b'PhysicsRestart'
0x180095270 b'PhysicsRestartNewRaceMode'
0x180095960 b'PhysicsSetRaceday'
0x180095090 b'PhysicsStart'
0x1800951B0 b'PhysicsStop'
0x180095720 b'PhysicsUnpause'
0x1800959A0 b'PhysicsUpdatePlayerSetups'
0x1800320F0 b'PitInfoClearCachedData'
0x1800B5C10 b'PlayerCarForceAI'
0x1800B5C20 b'PlayerCarSetLitePhysics'
0x1801078C0 b'QMAdvance'
0x180107BF0 b'QMDisallowQualifyTime'
0x180107520 b'QMGetGoalTime'
0x180107A60 b'QMGetQualifyResult'
0x180107B50 b'QMGetQualifyStatus'
0x1801075B0 b'QMInit'
0x1801075D0 b'QMInitAddRound'
0x180107930 b'QMIsAnyPlayerParticipatingInCurrentStage'
0x1801076B0 b'QMNotifyQualifyStageIsComplete'
0x1801074E0 b'QMSetGoalPlace'
0x180107650 b'QMStartQualifySequence'
0x180035720 b'ScenarioAddEvent'
0x180035660 b'ScenarioSetCarConfig'
0x1800355E0 b'ScenarioSetConfig'
0x1800A1CB0 b'ShimReset'
0x1800A1CC0 b'ShimUnloadDLL'
0x1800BC960 b'SpotterGetCheerTimeRemaining'
0x1800BC8D0 b'SpotterGrabNextPhrase'
0x1801262B0 b'StageConfigure'
0x1800DD3A0 b'StageGetRollingStartInfo'
0x1800DD320 b'StageGetStatus'
0x1800BEE20 b'UtilDisableWindowsCrashDialog'
0x1800BEEC0 b'UtilStringCopy'
0x1800BF0C0 b'VersionGetNumber'
0x1800BF0B0 b'VersionGetString'
0x1800DCDD0 b'YFDebugTriggerYellowFlag'
0x1800DC690 b'YFGetCarStatus'
0x1800DC530 b'YFGetLeaderboard'
0x1800B5DB0 b'YF_PlayerCarRequestPit'
0x1800B5CE0 b'YF_PlayerCarWillPit'
0x180095B30 b'_PhysicsIsPaused'
0x18012B7A0 b'test_reliable'
